------------------------------------------------ INICIALIZADO O APRENDIZADO ------------------------------------------------ 
----------------------------------------------------------------------------------------------------------------------------
---------------------------------------------- TABELA DO ESTADO :1--------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------
Estado    Acao      Destino   Valor     Acao      Destino   Valor     Acao      Destino   Valor     Acao      Destino   Valor     
21        Esquerda    21          5,314     Direita     19          5,314     Cima        40          5,314     Baixo       7           6,561     
22        Esquerda    23          4,783     Direita     20          5,905     Cima        22          4,783     Baixo       -1          0,000     
23        Esquerda    -1          0,000     Direita     40          5,314     Cima        -1          0,000     Baixo       21          5,314     
24        Esquerda    25          4,305     Direita     21          5,314     Cima        24          4,305     Baixo       -1          0,000     
25        Esquerda    26          3,874     Direita     -1          0,000     Cima        -1          0,000     Baixo       23          4,783     
26        Esquerda    -1          0,000     Direita     23          4,783     Cima        26          3,874     Baixo       -1          0,000     
27        Esquerda    28          3,487     Direita     24          4,305     Cima        -1          0,000     Baixo       25          4,305     
28        Esquerda    30          2,824     Direita     -1          0,000     Cima        28          3,487     Baixo       -1          0,000     
29        Esquerda    29          3,138     Direita     26          3,874     Cima        -1          0,000     Baixo       27          3,138     
30        Esquerda    -1          0,000     Direita     28          3,487     Cima        -1          0,000     Baixo       30          2,824     
31        Esquerda    -1          0,000     Direita     27          3,138     Cima        29          3,138     Baixo       -1          0,000     
32        Esquerda    32          3,874     Direita     -1          0,000     Cima        36          3,874     Baixo       18          4,783     
33        Esquerda    -1          0,000     Direita     31          4,305     Cima        33          3,487     Baixo       -1          0,000     
34        Esquerda    34          3,138     Direita     -1          0,000     Cima        35          3,487     Baixo       32          3,874     
35        Esquerda    -1          0,000     Direita     33          3,487     Cima        -1          0,000     Baixo       -1          0,000     
36        Esquerda    -1          0,000     Direita     36          3,874     Cima        -1          0,000     Baixo       33          3,487     
37        Esquerda    35          3,487     Direita     -1          0,000     Cima        -1          0,000     Baixo       31          4,305     
38        Esquerda    10          5,314     Direita     -1          0,000     Cima        39          4,783     Baixo       -1          0,000     
39        Esquerda    -1          0,000     Direita     14          5,905     Cima        10          5,314     Baixo       11          6,561     
40        Esquerda    17          4,783     Direita     16          5,314     Cima        -1          0,000     Baixo       37          4,783     
41        Esquerda    22          4,783     Direita     18          4,783     Cima        -1          0,000     Baixo       20          5,905     
----------------------------------------------------------------------------------------------------------------------------
---------------------------------------------- TABELA DO ESTADO :3--------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------
Estado    Acao      Destino   Valor     Acao      Destino   Valor     Acao      Destino   Valor     Acao      Destino   Valor     
1         Esquerda    -1          0,000     Direita     15          7,290     Cima        1           9,000     Baixo       -1          0,000     
2         Esquerda    3           8,100     Direita     2           10,000    Cima        -1          0,000     Baixo       0           8,100     
3         Esquerda    1           0,000     Direita     -1          0,000     Cima        5           0,000     Baixo       -1          0,000     
4         Esquerda    -1          0,000     Direita     1           9,000     Cima        4           8,100     Baixo       -1          0,000     
5         Esquerda    -1          0,000     Direita     5           9,000     Cima        -1          0,000     Baixo       3           8,100     
6         Esquerda    4           8,100     Direita     8           8,100     Cima        6           8,100     Baixo       2           10,000    
7         Esquerda    -1          0,000     Direita     7           7,290     Cima        -1          0,000     Baixo       5           9,000     
8         Esquerda    6           8,100     Direita     9           6,561     Cima        20          6,561     Baixo       8           8,100     
9         Esquerda    5           9,000     Direita     11          7,290     Cima        7           7,290     Baixo       -1          0,000     
10        Esquerda    7           7,290     Direita     10          5,905     Cima        19          5,905     Baixo       -1          0,000     
11        Esquerda    9           6,561     Direita     37          5,314     Cima        -1          0,000     Baixo       38          6,561     
12        Esquerda    8           8,100     Direita     -1          0,000     Cima        38          6,561     Baixo       12          6,561     
13        Esquerda    -1          0,000     Direita     13          5,905     Cima        11          7,290     Baixo       15          7,290     
14        Esquerda    12          6,561     Direita     -1          0,000     Cima        14          5,905     Baixo       -1          0,000     
15        Esquerda    38          6,561     Direita     -1          0,000     Cima        16          5,314     Baixo       13          5,905     
16        Esquerda    0           8,100     Direita     -1          0,000     Cima        12          6,561     Baixo       -1          0,000     
17        Esquerda    39          4,783     Direita     -1          0,000     Cima        -1          0,000     Baixo       14          5,905     
18        Esquerda    19          5,905     Direita     39          4,783     Cima        18          5,314     Baixo       -1          0,000     
19        Esquerda    40          5,905     Direita     -1          0,000     Cima        31          4,783     Baixo       17          5,314     
20        Esquerda    20          6,561     Direita     17          5,314     Cima        -1          0,000     Baixo       9           6,561     
21        Esquerda    21          5,905     Direita     19          5,905     Cima        40          5,905     Baixo       7           7,290     
22        Esquerda    23          5,314     Direita     20          6,561     Cima        22          5,314     Baixo       -1          0,000     
23        Esquerda    -1          0,000     Direita     40          5,905     Cima        -1          0,000     Baixo       21          5,905     
24        Esquerda    25          4,783     Direita     21          5,905     Cima        24          4,783     Baixo       -1          0,000     
25        Esquerda    26          4,305     Direita     -1          0,000     Cima        -1          0,000     Baixo       23          5,314     
26        Esquerda    -1          0,000     Direita     23          5,314     Cima        26          4,305     Baixo       -1          0,000     
27        Esquerda    28          3,874     Direita     24          4,783     Cima        -1          0,000     Baixo       25          4,783     
28        Esquerda    30          3,138     Direita     -1          0,000     Cima        28          3,874     Baixo       -1          0,000     
29        Esquerda    29          3,487     Direita     26          4,305     Cima        -1          0,000     Baixo       27          3,487     
30        Esquerda    -1          0,000     Direita     28          3,874     Cima        -1          0,000     Baixo       30          3,138     
31        Esquerda    -1          0,000     Direita     27          3,487     Cima        29          3,487     Baixo       -1          0,000     
32        Esquerda    32          4,305     Direita     -1          0,000     Cima        36          4,305     Baixo       18          5,314     
33        Esquerda    -1          0,000     Direita     31          4,783     Cima        33          3,874     Baixo       -1          0,000     
34        Esquerda    34          3,487     Direita     -1          0,000     Cima        35          3,874     Baixo       32          4,305     
35        Esquerda    -1          0,000     Direita     33          3,874     Cima        -1          0,000     Baixo       -1          0,000     
36        Esquerda    -1          0,000     Direita     36          4,305     Cima        -1          0,000     Baixo       33          3,874     
37        Esquerda    35          3,874     Direita     -1          0,000     Cima        -1          0,000     Baixo       31          4,783     
38        Esquerda    10          5,905     Direita     -1          0,000     Cima        39          4,783     Baixo       -1          0,000     
39        Esquerda    -1          0,000     Direita     14          5,905     Cima        10          5,905     Baixo       11          7,290     
40        Esquerda    17          5,314     Direita     16          5,314     Cima        -1          0,000     Baixo       37          5,314     
41        Esquerda    22          5,314     Direita     18          5,314     Cima        -1          0,000     Baixo       20          6,561     
----------------------------------------------------------------------------------------------------------------------------
---------------------------------------------- TABELA DO ESTADO :4--------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------
Estado    Acao      Destino   Valor     Acao      Destino   Valor     Acao      Destino   Valor     Acao      Destino   Valor     
1         Esquerda    -1          0,000     Direita     15          7,290     Cima        1           9,000     Baixo       -1          0,000     
2         Esquerda    3           10,000    Direita     2           8,100     Cima        -1          0,000     Baixo       0           8,100     
3         Esquerda    1           9,000     Direita     -1          0,000     Cima        5           8,100     Baixo       -1          0,000     
4         Esquerda    -1          0,000     Direita     1           0,000     Cima        4           0,000     Baixo       -1          0,000     
5         Esquerda    -1          0,000     Direita     5           8,100     Cima        -1          0,000     Baixo       3           10,000    
6         Esquerda    4           9,000     Direita     8           7,290     Cima        6           7,290     Baixo       2           8,100     
7         Esquerda    -1          0,000     Direita     7           6,561     Cima        -1          0,000     Baixo       5           8,100     
8         Esquerda    6           7,290     Direita     9           5,905     Cima        20          5,905     Baixo       8           7,290     
9         Esquerda    5           8,100     Direita     11          6,561     Cima        7           6,561     Baixo       -1          0,000     
10        Esquerda    7           6,561     Direita     10          5,314     Cima        19          5,314     Baixo       -1          0,000     
11        Esquerda    9           5,905     Direita     37          4,783     Cima        -1          0,000     Baixo       38          5,905     
12        Esquerda    8           7,290     Direita     -1          0,000     Cima        38          5,905     Baixo       12          6,561     
13        Esquerda    -1          0,000     Direita     13          5,905     Cima        11          6,561     Baixo       15          7,290     
14        Esquerda    12          6,561     Direita     -1          0,000     Cima        14          5,314     Baixo       -1          0,000     
15        Esquerda    38          5,905     Direita     -1          0,000     Cima        16          4,783     Baixo       13          5,905     
16        Esquerda    0           8,100     Direita     -1          0,000     Cima        12          6,561     Baixo       -1          0,000     
